127.0.0.1 - - [03/Aug/2017:15:49:58 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [03/Aug/2017:15:50:00 +0530] "GET /Result_Analysis_PDF[1]2/contact.jsp HTTP/1.1" 200 2300
0:0:0:0:0:0:0:1 - - [03/Aug/2017:15:50:00 +0530] "GET /Result_Analysis_PDF[1]2/js/skel.min.js HTTP/1.1" 200 23197
0:0:0:0:0:0:0:1 - - [03/Aug/2017:15:50:00 +0530] "GET /Result_Analysis_PDF[1]2/js/jquery.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [03/Aug/2017:15:50:00 +0530] "GET /Result_Analysis_PDF[1]2/js/skel-layers.min.js HTTP/1.1" 200 18807
0:0:0:0:0:0:0:1 - - [03/Aug/2017:15:50:00 +0530] "GET /Result_Analysis_PDF[1]2/js/init.js HTTP/1.1" 200 1377
0:0:0:0:0:0:0:1 - - [03/Aug/2017:15:50:01 +0530] "GET /Result_Analysis_PDF[1]2/css/style.css HTTP/1.1" 200 4058
0:0:0:0:0:0:0:1 - - [03/Aug/2017:15:50:01 +0530] "GET /Result_Analysis_PDF[1]2/css/style-mobile.css HTTP/1.1" 200 4669
0:0:0:0:0:0:0:1 - - [03/Aug/2017:15:50:01 +0530] "GET /Result_Analysis_PDF[1]2/css/images/mobileUI-site-nav-opener-bg.svg HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [03/Aug/2017:15:50:38 +0530] "GET /Result_Analysis_PDF[1]2/contact.jsp HTTP/1.1" 200 2300
0:0:0:0:0:0:0:1 - - [03/Aug/2017:15:50:38 +0530] "GET /Result_Analysis_PDF[1]2/js/jquery.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [03/Aug/2017:15:50:38 +0530] "GET /Result_Analysis_PDF[1]2/js/skel.min.js HTTP/1.1" 200 23197
0:0:0:0:0:0:0:1 - - [03/Aug/2017:15:50:38 +0530] "GET /Result_Analysis_PDF[1]2/js/skel-layers.min.js HTTP/1.1" 200 18807
0:0:0:0:0:0:0:1 - - [03/Aug/2017:15:50:38 +0530] "GET /Result_Analysis_PDF[1]2/js/init.js HTTP/1.1" 200 1377
0:0:0:0:0:0:0:1 - - [03/Aug/2017:15:50:39 +0530] "GET /Result_Analysis_PDF[1]2/css/style.css HTTP/1.1" 200 4058
0:0:0:0:0:0:0:1 - - [03/Aug/2017:15:50:39 +0530] "GET /Result_Analysis_PDF[1]2/css/style-desktop.css HTTP/1.1" 200 5296
0:0:0:0:0:0:0:1 - - [03/Aug/2017:15:50:39 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [03/Aug/2017:15:50:49 +0530] "GET /Result_Analysis_PDF[1]2/login.jsp HTTP/1.1" 200 2068
0:0:0:0:0:0:0:1 - - [03/Aug/2017:15:50:49 +0530] "GET /Result_Analysis_PDF[1]2/css/skel.css HTTP/1.1" 200 6782
0:0:0:0:0:0:0:1 - - [03/Aug/2017:15:50:52 +0530] "GET /Result_Analysis_PDF[1]2/register.jsp HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [03/Aug/2017:15:51:10 +0530] "POST /Result_Analysis_PDF[1]2/reg HTTP/1.1" 500 1462
